Rank,Team,ADJ EPA Per Play
690,MIA ( 2010 ),-0.069
691,WAS ( 2018 ),-0.069
692,LA ( 2022 ),-0.069
693,DAL ( 2024 ),-0.069
694,NYJ ( 2005 ),-0.07
695,WAS ( 2025 ),-0.07
696,LV ( 2005 ),-0.071
697,DEN ( 2008 ),-0.072
698,TB ( 2015 ),-0.072
699,PHI ( 1999 ),-0.074
700,LV ( 2004 ),-0.074
701,CLE ( 2008 ),-0.074
702,MIA ( 2015 ),-0.074
703,CIN ( 2025 ),-0.074
704,CHI ( 2000 ),-0.076
705,SEA ( 2010 ),-0.076
706,TEN ( 2004 ),-0.077
707,CLE ( 2013 ),-0.078
708,NYJ ( 2016 ),-0.078
709,HOU ( 2017 ),-0.078
710,LV ( 2024 ),-0.078
711,DET ( 2005 ),-0.079
712,LA ( 2005 ),-0.079
713,BUF ( 2007 ),-0.079
714,SEA ( 2008 ),-0.079
715,ARI ( 2022 ),-0.08
716,CIN ( 2020 ),-0.081
717,JAX ( 2011 ),-0.082
718,DAL ( 2020 ),-0.082
719,MIA ( 2025 ),-0.082
720,DEN ( 2017 ),-0.083
721,DAL ( 2001 ),-0.084
722,DAL ( 2004 ),-0.084
723,LV ( 2007 ),-0.084
724,MIA ( 2017 ),-0.084
725,CHI ( 2021 ),-0.084
726,ARI ( 2023 ),-0.084
727,SF ( 2018 ),-0.085
728,BUF ( 2018 ),-0.085
729,NYJ ( 2007 ),-0.086
730,DEN ( 2020 ),-0.086
731,JAX ( 2009 ),-0.087
732,NYG ( 2013 ),-0.087
733,CLE ( 2015 ),-0.087
734,HOU ( 2006 ),-0.088
735,TB ( 2009 ),-0.088
736,NYJ ( 2012 ),-0.088
737,BUF ( 2012 ),-0.088
738,ATL ( 1999 ),-0.089
739,DEN ( 2010 ),-0.09
740,JAX ( 2015 ),-0.09
741,MIN ( 2001 ),-0.091
742,CHI ( 2014 ),-0.091
743,NYJ ( 2014 ),-0.091
744,CHI ( 2022 ),-0.093
745,NYJ ( 2023 ),-0.094
746,LAC ( 2000 ),-0.096
747,SEA ( 2009 ),-0.096
748,NYG ( 2017 ),-0.096
749,ATL ( 2003 ),-0.097
750,TEN ( 2005 ),-0.097
751,KC ( 2007 ),-0.097
752,BUF ( 2010 ),-0.097
753,NYJ ( 2013 ),-0.097
754,NYJ ( 2019 ),-0.097
755,MIA ( 2018 ),-0.099
756,CHI ( 2004 ),-0.1
757,CLE ( 2006 ),-0.1
758,KC ( 2011 ),-0.1
759,JAX ( 2019 ),-0.1
760,CLE ( 2024 ),-0.1
761,LV ( 2013 ),-0.101
762,CAR ( 2019 ),-0.101
763,NYG ( 2003 ),-0.102
764,WAS ( 2014 ),-0.103
765,NE ( 2024 ),-0.103
766,ARI ( 1999 ),-0.106
767,CAR ( 2001 ),-0.106
768,DAL ( 2002 ),-0.106
769,LV ( 2019 ),-0.106
770,HOU ( 2002 ),-0.107
771,HOU ( 2022 ),-0.107
772,NO ( 2025 ),-0.107
773,ATL ( 2000 ),-0.108
774,NO ( 2005 ),-0.108
775,TEN ( 2015 ),-0.108
776,NYG ( 2024 ),-0.108
777,CIN ( 1999 ),-0.109
778,DET ( 2001 ),-0.109
779,DET ( 2020 ),-0.109
780,IND ( 2022 ),-0.109
781,JAX ( 2024 ),-0.109
782,CLE ( 2025 ),-0.109
783,NO ( 1999 ),-0.11
784,HOU ( 2013 ),-0.113
785,TB ( 2006 ),-0.114
786,SF ( 2007 ),-0.114
787,CHI ( 2016 ),-0.114
788,WAS ( 2013 ),-0.115
789,NYG ( 2021 ),-0.115
790,CIN ( 2000 ),-0.116
791,BUF ( 2001 ),-0.117
792,ARI ( 2002 ),-0.117
793,KC ( 2009 ),-0.117
794,DET ( 2021 ),-0.118
795,DET ( 2002 ),-0.119
796,LAC ( 2003 ),-0.12
797,NYG ( 2019 ),-0.12
798,ATL ( 2021 ),-0.12
799,TB ( 2014 ),-0.121
800,TEN ( 2024 ),-0.121
801,LV ( 2008 ),-0.122
802,NYG ( 2023 ),-0.122
803,CIN ( 2008 ),-0.123
804,SF ( 2015 ),-0.123
805,CAR ( 2023 ),-0.124
