Rank,Team,ADJ EPA Per Play
732,KC ( 2017 ),-0.084
733,CLE ( 2017 ),-0.084
734,CHI ( 2021 ),-0.084
735,IND ( 2001 ),-0.085
736,DET ( 2009 ),-0.085
737,DEN ( 2020 ),-0.086
738,WAS ( 2003 ),-0.087
739,ARI ( 2003 ),-0.087
740,HOU ( 2010 ),-0.087
741,MIN ( 2000 ),-0.088
742,LV ( 2012 ),-0.088
743,GB ( 2017 ),-0.088
744,TEN ( 2023 ),-0.088
745,PIT ( 2014 ),-0.089
746,NYG ( 2018 ),-0.089
747,WAS ( 1999 ),-0.09
748,WAS ( 2019 ),-0.09
749,JAX ( 2010 ),-0.091
750,CAR ( 2011 ),-0.091
751,CLE ( 2016 ),-0.091
752,CHI ( 2022 ),-0.093
753,ARI ( 2023 ),-0.094
754,CIN ( 1999 ),-0.095
755,CLE ( 2000 ),-0.095
756,MIN ( 2002 ),-0.097
757,DEN ( 2007 ),-0.097
758,LV ( 2011 ),-0.097
759,PHI ( 2023 ),-0.097
760,WAS ( 2014 ),-0.098
761,HOU ( 2005 ),-0.101
762,JAX ( 2009 ),-0.101
763,DEN ( 2010 ),-0.101
764,CIN ( 2002 ),-0.102
765,SF ( 2000 ),-0.103
766,TEN ( 2001 ),-0.103
767,WAS ( 2006 ),-0.103
768,TEN ( 2014 ),-0.104
769,HOU ( 2022 ),-0.107
770,DET ( 2020 ),-0.109
771,IND ( 2022 ),-0.109
772,CIN ( 2019 ),-0.11
773,CIN ( 2003 ),-0.111
774,NO ( 2014 ),-0.111
775,MIA ( 2019 ),-0.112
776,DET ( 2008 ),-0.115
777,NYG ( 2021 ),-0.115
778,WAS ( 2023 ),-0.115
779,MIN ( 2004 ),-0.117
780,SF ( 2006 ),-0.118
781,IND ( 2017 ),-0.118
782,DET ( 2021 ),-0.118
783,NO ( 2015 ),-0.119
784,ATL ( 2021 ),-0.12
785,CLE ( 1999 ),-0.121
786,ARI ( 2000 ),-0.125
787,DEN ( 2008 ),-0.129
788,LAC ( 2003 ),-0.13
789,HOU ( 2021 ),-0.14
790,JAX ( 2020 ),-0.142
791,NYJ ( 2021 ),-0.144
792,SF ( 1999 ),-0.15
793,LV ( 2018 ),-0.152
794,LV ( 2019 ),-0.16
795,MIA ( 2007 ),-0.163
796,JAX ( 2021 ),-0.167
797,NYJ ( 2020 ),-0.168
