spread_line,result,normalized_modeled_prob
-15.0,62,0.0000000
-15.0,63,0.0000000
-15.0,64,0.0000000
-15.0,65,0.0000000
-15.0,66,0.0000000
-15.0,67,0.0000000
-15.0,68,0.0000000
-15.0,69,0.0000000
-15.0,70,0.0000000
-15.0,71,0.0000000
-15.0,72,0.0000000
-15.0,73,0.0000000
-15.0,74,0.0000000
-14.5,-75,0.0000004
-14.5,-74,0.0000005
-14.5,-73,0.0000007
-14.5,-72,0.0000009
-14.5,-71,0.0000012
-14.5,-70,0.0000017
-14.5,-69,0.0000022
-14.5,-68,0.0000030
-14.5,-67,0.0000039
-14.5,-66,0.0000052
-14.5,-65,0.0000068
-14.5,-64,0.0000089
-14.5,-63,0.0000115
-14.5,-62,0.0000148
-14.5,-61,0.0000191
-14.5,-60,0.0000244
-14.5,-59,0.0000309
-14.5,-58,0.0000391
-14.5,-57,0.0000492
-14.5,-56,0.0000615
-14.5,-55,0.0000765
-14.5,-54,0.0000947
-14.5,-53,0.0001166
-14.5,-52,0.0001428
-14.5,-51,0.0001739
-14.5,-50,0.0002107
-14.5,-49,0.0002538
-14.5,-48,0.0003042
-14.5,-47,0.0003627
-14.5,-46,0.0004324
-14.5,-45,0.0007089
-14.5,-44,0.0035734
-14.5,-43,0.0082212
-14.5,-42,0.0071197
-14.5,-41,0.0093247
-14.5,-40,0.0046799
-14.5,-39,0.0054399
-14.5,-38,0.0111851
-14.5,-37,0.0055656
-14.5,-36,0.0023838
-14.5,-35,0.0071208
-14.5,-34,0.0148206
-14.5,-33,0.0080007
-14.5,-32,0.0093308
-14.5,-31,0.0184145
-14.5,-30,0.0100287
-14.5,-29,0.0117374
-14.5,-28,0.0230014
-14.5,-27,0.0118530
-14.5,-26,0.0055209
-14.5,-25,0.0153981
-14.5,-24,0.0314690
-14.5,-23,0.0168500
-14.5,-22,0.0203814
-14.5,-21,0.0408367
-14.5,-20,0.0200357
-14.5,-19,0.0082907
-14.5,-18,0.0292410
-14.5,-17,0.0633279
-14.5,-16,0.0317134
